PROBLEM,DIMENSION,derivative_type,start.pt ID,k_exp,fd_strategy,grad.norm,iters/max,success,rate(exp),time(s)
83,2,FD,1,8,constant,6.41e-07,6/1000,yes,1.00,0.01
83,2,FD,2,8,constant,1.55e-07,7/1000,yes,1.00,0.00
83,2,FD,3,8,constant,1.15e-07,8/1000,yes,1.00,0.00
83,2,FD,4,8,constant,8.80e-07,6/1000,yes,1.00,0.00
83,2,FD,5,8,constant,1.85e-07,7/1000,yes,1.00,0.01
,,,"Avg (successes)",,,,4.35e-07,6.8/1000,,1.00,0.00
,,,,,,,,,,
83,2,FD_all,0,12,component-wise,1.84e-07,6/1000,yes,0.99,0.00
83,2,FD_all,1,12,component-wise,1.72e-07,5/1000,yes,0.99,0.00
83,2,FD_all,2,12,component-wise,5.05e-08,7/1000,yes,0.98,0.00
83,2,FD_all,3,12,component-wise,2.21e-07,6/1000,yes,0.94,0.00
83,2,FD_all,4,12,component-wise,2.01e-07,5/1000,yes,0.99,0.01
83,2,FD_all,5,12,component-wise,1.27e-07,5/1000,yes,0.96,0.00
,,,"Avg (successes)",,,,1.59e-07,5.7/1000,,0.98,0.00
,,,,,,,,,,
83,2,FD_all,0,12,constant,3.34e-07,12/1000,yes,0.91,0.00
83,2,FD_all,1,12,constant,2.81e-02,100/1000,no,NaN,0.01
83,2,FD_all,2,12,constant,1.07e-07,6/1000,yes,1.00,0.00
83,2,FD_all,3,12,constant,7.38e-02,100/1000,no,NaN,0.02
83,2,FD_all,4,12,constant,6.41e-02,100/1000,no,NaN,0.01
83,2,FD_all,5,12,constant,1.69e-02,100/1000,no,NaN,0.01
,,,"Avg (successes)",,,,2.21e-07,9.0/1000,,0.95,0.00
,,,,,,,,,,
83,2,FD_all,0,4,component-wise,1.90e-07,6/1000,yes,0.99,0.01
83,2,FD_all,1,4,component-wise,1.77e-07,5/1000,yes,0.99,0.01
83,2,FD_all,2,4,component-wise,5.32e-08,7/1000,yes,0.98,0.01
83,2,FD_all,3,4,component-wise,2.25e-07,6/1000,yes,0.94,0.01
83,2,FD_all,4,4,component-wise,2.07e-07,5/1000,yes,0.99,0.01
83,2,FD_all,5,4,component-wise,1.11e-07,5/1000,yes,0.95,0.01
,,,"Avg (successes)",,,,1.60e-07,5.7/1000,,0.97,0.01
,,,,,,,,,,
83,2,FD_all,0,4,constant,4.37e-07,7/1000,yes,-2.31,0.00
83,2,FD_all,1,4,constant,2.82e-02,100/1000,no,NaN,0.01
83,2,FD_all,2,4,constant,1.17e-07,6/1000,yes,1.00,0.00
83,2,FD_all,3,4,constant,7.40e-02,100/1000,no,NaN,0.02
83,2,FD_all,4,4,constant,6.44e-02,100/1000,no,NaN,0.02
83,2,FD_all,5,4,constant,1.73e-02,100/1000,no,NaN,0.02
,,,"Avg (successes)",,,,2.77e-07,6.5/1000,,-0.66,0.00
,,,,,,,,,,
83,2,FD_all,0,8,component-wise,1.84e-07,6/1000,yes,0.99,0.01
83,2,FD_all,1,8,component-wise,1.72e-07,5/1000,yes,0.99,0.01
83,2,FD_all,2,8,component-wise,5.06e-08,7/1000,yes,0.98,0.00
83,2,FD_all,3,8,component-wise,2.21e-07,6/1000,yes,0.94,0.00
83,2,FD_all,4,8,component-wise,2.01e-07,5/1000,yes,0.99,0.00
83,2,FD_all,5,8,component-wise,1.26e-07,5/1000,yes,0.96,0.00
,,,"Avg (successes)",,,,1.59e-07,5.7/1000,,0.98,0.00
,,,,,,,,,,
83,2,FD_all,0,8,constant,3.35e-07,9/1000,yes,0.06,0.00
83,2,FD_all,1,8,constant,2.81e-02,100/1000,no,NaN,0.02
83,2,FD_all,2,8,constant,1.07e-07,6/1000,yes,1.00,0.00
83,2,FD_all,3,8,constant,7.38e-02,100/1000,no,NaN,0.02
83,2,FD_all,4,8,constant,6.41e-02,100/1000,no,NaN,0.02
83,2,FD_all,5,8,constant,1.69e-02,100/1000,no,NaN,0.02
,,,"Avg (successes)",,,,2.21e-07,7.5/1000,,0.53,0.00
,,,,,,,,,,
83,1000,Exact,0,N/A,N/A,4.69e-06,100/1000,no,NaN,0.88
83,1000,Exact,1,N/A,N/A,3.97e-06,100/1000,no,NaN,0.63
83,1000,Exact,2,N/A,N/A,3.87e-06,100/1000,no,NaN,0.57
83,1000,Exact,3,N/A,N/A,3.42e-06,100/1000,no,NaN,0.91
83,1000,Exact,4,N/A,N/A,8.87e-06,100/1000,no,NaN,0.88
83,1000,Exact,5,N/A,N/A,4.03e-06,100/1000,no,NaN,0.57
,,,,,,,,,,
83,1000,FD,0,12,component-wise,9.14e-07,82/1000,yes,-0.96,0.60
83,1000,FD,1,12,component-wise,4.06e-06,100/1000,no,NaN,0.75
83,1000,FD,2,12,component-wise,4.49e-06,100/1000,no,NaN,0.89
83,1000,FD,3,12,component-wise,4.76e-07,39/1000,yes,-1.05,0.27
83,1000,FD,4,12,component-wise,1.03e-05,100/1000,no,NaN,0.85
83,1000,FD,5,12,component-wise,8.82e-06,100/1000,no,NaN,1.07
,,,"Avg (successes)",,,,6.95e-07,60.5/1000,,-1.01,0.44
,,,,,,,,,,
83,1000,FD,0,12,constant,2.56e-06,100/1000,no,NaN,0.83
83,1000,FD,1,12,constant,3.05e-06,100/1000,no,NaN,0.76
83,1000,FD,2,12,constant,1.52e-05,100/1000,no,NaN,0.99
83,1000,FD,3,12,constant,5.67e-06,100/1000,no,NaN,0.81
83,1000,FD,4,12,constant,3.11e-06,100/1000,no,NaN,0.73
83,1000,FD,5,12,constant,4.37e-06,100/1000,no,NaN,0.86
,,,,,,,,,,
83,1000,FD,0,4,component-wise,3.77e-06,100/1000,no,NaN,1.07
83,1000,FD,1,4,component-wise,2.38e-06,100/1000,no,NaN,0.73
83,1000,FD,2,4,component-wise,5.26e-07,51/1000,yes,-1.06,0.48
83,1000,FD,3,4,component-wise,2.18e-06,100/1000,no,NaN,0.79
83,1000,FD,4,4,component-wise,3.92e-06,100/1000,no,NaN,0.74
83,1000,FD,5,4,component-wise,1.13e-05,100/1000,no,NaN,0.77
,,,"Avg (successes)",,,,5.26e-07,51.0/1000,,-1.06,0.48
,,,,,,,,,,
83,1000,FD,0,4,constant,3.46e-06,100/1000,no,NaN,0.88
83,1000,FD,1,4,constant,6.05e-06,100/1000,no,NaN,0.85
83,1000,FD,2,4,constant,3.36e-06,100/1000,no,NaN,1.00
83,1000,FD,3,4,constant,6.66e-06,100/1000,no,NaN,0.77
83,1000,FD,4,4,constant,6.87e-06,100/1000,no,NaN,0.73
83,1000,FD,5,4,constant,3.88e-06,100/1000,no,NaN,0.98
,,,,,,,,,,
83,1000,FD,0,8,component-wise,1.86e-06,100/1000,no,NaN,0.92
83,1000,FD,1,8,component-wise,6.70e-07,45/1000,yes,-1.00,0.42
83,1000,FD,2,8,component-wise,5.86e-07,51/1000,yes,-1.09,0.40
83,1000,FD,3,8,component-wise,5.32e-07,41/1000,yes,-1.04,0.25
83,1000,FD,4,8,component-wise,2.36e-05,100/1000,no,NaN,0.83
83,1000,FD,5,8,component-wise,1.61e-05,100/1000,no,NaN,0.84
,,,"Avg (successes)",,,,5.96e-07,45.7/1000,,-1.04,0.36
,,,,,,,,,,
83,1000,FD,0,8,constant,2.51e-06,100/1000,no,NaN,0.89
83,1000,FD,1,8,constant,1.90e-06,100/1000,no,NaN,0.80
83,1000,FD,2,8,constant,2.91e-06,100/1000,no,NaN,1.01
83,1000,FD,3,8,constant,5.52e-06,100/1000,no,NaN,0.82
83,1000,FD,4,8,constant,2.67e-06,100/1000,no,NaN,0.95
83,1000,FD,5,8,constant,4.11e-06,100/1000,no,NaN,0.95
,,,,,,,,,,
83,1000,FD_all,0,12,component-wise,1.00e-03,100/1000,no,NaN,2.28
83,1000,FD_all,1,12,component-wise,1.55e-03,100/1000,no,NaN,2.26
83,1000,FD_all,2,12,component-wise,5.25e-04,100/1000,no,NaN,2.29
83,1000,FD_all,3,12,component-wise,9.26e-04,100/1000,no,NaN,2.39
83,1000,FD_all,4,12,component-wise,7.38e-04,100/1000,no,NaN,2.39
83,1000,FD_all,5,12,component-wise,7.86e-04,100/1000,no,NaN,2.43
,,,,,,,,,,
83,1000,FD_all,0,12,constant,9.39e-04,100/1000,no,NaN,2.22
83,1000,FD_all,1,12,constant,8.57e-04,100/1000,no,NaN,2.32
83,1000,FD_all,2,12,constant,6.44e-04,100/1000,no,NaN,2.31
83,1000,FD_all,3,12,constant,8.04e-04,100/1000,no,NaN,2.19
83,1000,FD_all,4,12,constant,6.72e-04,100/1000,no,NaN,2.16
83,1000,FD_all,5,12,constant,7.45e-04,100/1000,no,NaN,2.02
,,,,,,,,,,
83,1000,FD_all,0,4,component-wise,1.05e-03,100/1000,no,NaN,2.32
83,1000,FD_all,1,4,component-wise,1.62e-03,100/1000,no,NaN,2.29
83,1000,FD_all,2,4,component-wise,5.22e-04,100/1000,no,NaN,2.45
83,1000,FD_all,3,4,component-wise,9.54e-04,100/1000,no,NaN,2.40
83,1000,FD_all,4,4,component-wise,7.10e-04,100/1000,no,NaN,2.47
83,1000,FD_all,5,4,component-wise,7.93e-04,100/1000,no,NaN,2.23
,,,,,,,,,,
83,1000,FD_all,0,4,constant,9.36e-04,100/1000,no,NaN,2.29
83,1000,FD_all,1,4,constant,8.87e-04,100/1000,no,NaN,2.50
83,1000,FD_all,2,4,constant,6.83e-04,100/1000,no,NaN,2.33
83,1000,FD_all,3,4,constant,9.16e-04,100/1000,no,NaN,2.28
83,1000,FD_all,4,4,constant,6.62e-04,100/1000,no,NaN,2.40
83,1000,FD_all,5,4,constant,7.78e-04,100/1000,no,NaN,2.26
,,,,,,,,,,
83,1000,FD_all,0,8,component-wise,9.84e-04,100/1000,no,NaN,2.44
83,1000,FD_all,1,8,component-wise,1.56e-03,100/1000,no,NaN,2.40
83,1000,FD_all,2,8,component-wise,5.18e-04,100/1000,no,NaN,2.17
83,1000,FD_all,3,8,component-wise,9.96e-04,100/1000,no,NaN,2.33
83,1000,FD_all,4,8,component-wise,7.31e-04,100/1000,no,NaN,2.34
83,1000,FD_all,5,8,component-wise,8.18e-04,100/1000,no,NaN,2.30
,,,,,,,,,,
83,1000,FD_all,0,8,constant,9.58e-04,100/1000,no,NaN,2.18
83,1000,FD_all,1,8,constant,8.60e-04,100/1000,no,NaN,2.14
83,1000,FD_all,2,8,constant,7.59e-04,100/1000,no,NaN,2.36
83,1000,FD_all,3,8,constant,8.16e-04,100/1000,no,NaN,2.29
83,1000,FD_all,4,8,constant,6.62e-04,100/1000,no,NaN,1.91
83,1000,FD_all,5,8,constant,7.47e-04,100/1000,no,NaN,2.06
,,,,,,,,,,
83,10000,Exact,0,N/A,N/A,6.40e-06,100/1000,no,NaN,7.69
83,10000,Exact,1,N/A,N/A,6.80e-06,100/1000,no,NaN,5.79
83,10000,Exact,2,N/A,N/A,7.41e-06,100/1000,no,NaN,5.84
83,10000,Exact,3,N/A,N/A,6.96e-06,100/1000,no,NaN,6.99
83,10000,Exact,4,N/A,N/A,7.86e-06,100/1000,no,NaN,6.54
83,10000,Exact,5,N/A,N/A,7.78e-06,100/1000,no,NaN,7.36
,,,,,,,,,,
83,10000,FD,0,12,component-wise,6.43e-06,100/1000,no,NaN,8.47
83,10000,FD,1,12,component-wise,6.75e-06,100/1000,no,NaN,6.85
83,10000,FD,2,12,component-wise,7.38e-06,100/1000,no,NaN,6.90
83,10000,FD,3,12,component-wise,6.94e-06,100/1000,no,NaN,7.69
83,10000,FD,4,12,component-wise,7.80e-06,100/1000,no,NaN,7.74
83,10000,FD,5,12,component-wise,7.74e-06,100/1000,no,NaN,5.17
,,,,,,,,,,
83,10000,FD,0,12,constant,6.44e-06,100/1000,no,NaN,7.70
83,10000,FD,1,12,constant,6.74e-06,100/1000,no,NaN,9.26
83,10000,FD,2,12,constant,7.37e-06,100/1000,no,NaN,7.41
83,10000,FD,3,12,constant,6.94e-06,100/1000,no,NaN,6.35
83,10000,FD,4,12,constant,7.79e-06,100/1000,no,NaN,6.91
83,10000,FD,5,12,constant,7.74e-06,100/1000,no,NaN,6.49
,,,,,,,,,,
83,10000,FD,0,4,component-wise,6.43e-06,100/1000,no,NaN,8.50
83,10000,FD,1,4,component-wise,6.75e-06,100/1000,no,NaN,7.44
83,10000,FD,2,4,component-wise,7.38e-06,100/1000,no,NaN,9.17
83,10000,FD,3,4,component-wise,6.94e-06,100/1000,no,NaN,8.82
83,10000,FD,4,4,component-wise,7.80e-06,100/1000,no,NaN,6.59
83,10000,FD,5,4,component-wise,7.74e-06,100/1000,no,NaN,6.92
,,,,,,,,,,
83,10000,FD,0,4,constant,6.44e-06,100/1000,no,NaN,7.20
83,10000,FD,1,4,constant,6.74e-06,100/1000,no,NaN,6.53
83,10000,FD,2,4,constant,7.37e-06,100/1000,no,NaN,6.43
83,10000,FD,3,4,constant,6.94e-06,100/1000,no,NaN,7.36
83,10000,FD,4,4,constant,7.79e-06,100/1000,no,NaN,6.63
83,10000,FD,5,4,constant,7.74e-06,100/1000,no,NaN,6.81
,,,,,,,,,,
83,10000,FD,0,8,component-wise,6.43e-06,100/1000,no,NaN,7.66
83,10000,FD,1,8,component-wise,6.75e-06,100/1000,no,NaN,6.94
83,10000,FD,2,8,component-wise,7.38e-06,100/1000,no,NaN,7.81
83,10000,FD,3,8,component-wise,6.94e-06,100/1000,no,NaN,7.34
83,10000,FD,4,8,component-wise,7.80e-06,100/1000,no,NaN,7.46
83,10000,FD,5,8,component-wise,7.74e-06,100/1000,no,NaN,6.48
,,,,,,,,,,
83,10000,FD,0,8,constant,6.44e-06,100/1000,no,NaN,7.10
83,10000,FD,1,8,constant,6.74e-06,100/1000,no,NaN,7.22
83,10000,FD,2,8,constant,7.37e-06,100/1000,no,NaN,6.90
83,10000,FD,3,8,constant,6.94e-06,100/1000,no,NaN,9.28
83,10000,FD,4,8,constant,7.79e-06,100/1000,no,NaN,6.34
83,10000,FD,5,8,constant,7.74e-06,100/1000,no,NaN,7.58
,,,,,,,,,,
83,10000,FD_all,0,12,component-wise,4.47e-05,100/1000,no,NaN,20.32
83,10000,FD_all,1,12,component-wise,3.72e-05,100/1000,no,NaN,19.67
83,10000,FD_all,2,12,component-wise,4.19e-05,100/1000,no,NaN,20.43
83,10000,FD_all,3,12,component-wise,5.17e-05,100/1000,no,NaN,19.90
83,10000,FD_all,4,12,component-wise,5.00e-05,100/1000,no,NaN,21.98
83,10000,FD_all,5,12,component-wise,4.55e-05,100/1000,no,NaN,9.53
,,,,,,,,,,
83,10000,FD_all,0,12,constant,4.07e-05,100/1000,no,NaN,20.26
83,10000,FD_all,1,12,constant,3.16e-05,100/1000,no,NaN,20.76
83,10000,FD_all,2,12,constant,4.32e-05,100/1000,no,NaN,19.83
83,10000,FD_all,3,12,constant,4.75e-05,100/1000,no,NaN,19.72
83,10000,FD_all,4,12,constant,4.22e-05,100/1000,no,NaN,20.21
83,10000,FD_all,5,12,constant,3.92e-05,100/1000,no,NaN,20.15
,,,,,,,,,,
83,10000,FD_all,0,4,component-wise,4.16e-05,100/1000,no,NaN,22.28
83,10000,FD_all,1,4,component-wise,3.73e-05,100/1000,no,NaN,19.61
83,10000,FD_all,2,4,component-wise,4.68e-05,100/1000,no,NaN,20.02
83,10000,FD_all,3,4,component-wise,4.60e-05,100/1000,no,NaN,20.11
83,10000,FD_all,4,4,component-wise,6.70e-05,100/1000,no,NaN,19.34
83,10000,FD_all,5,4,component-wise,4.02e-05,100/1000,no,NaN,20.53
,,,,,,,,,,
83,10000,FD_all,0,4,constant,3.66e-05,100/1000,no,NaN,20.39
83,10000,FD_all,1,4,constant,3.75e-05,100/1000,no,NaN,19.77
83,10000,FD_all,2,4,constant,3.68e-05,100/1000,no,NaN,20.19
83,10000,FD_all,3,4,constant,4.26e-05,100/1000,no,NaN,20.08
83,10000,FD_all,4,4,constant,3.27e-05,100/1000,no,NaN,20.03
83,10000,FD_all,5,4,constant,4.45e-05,100/1000,no,NaN,20.25
,,,,,,,,,,
83,10000,FD_all,0,8,component-wise,4.64e-05,100/1000,no,NaN,20.02
83,10000,FD_all,1,8,component-wise,3.95e-05,100/1000,no,NaN,22.11
83,10000,FD_all,2,8,component-wise,4.72e-05,100/1000,no,NaN,21.49
83,10000,FD_all,3,8,component-wise,5.17e-05,100/1000,no,NaN,21.53
83,10000,FD_all,4,8,component-wise,4.56e-05,100/1000,no,NaN,20.17
83,10000,FD_all,5,8,component-wise,4.63e-05,100/1000,no,NaN,20.91
,,,,,,,,,,
83,10000,FD_all,0,8,constant,4.05e-05,100/1000,no,NaN,19.91
83,10000,FD_all,1,8,constant,3.26e-05,100/1000,no,NaN,20.04
83,10000,FD_all,2,8,constant,4.20e-05,100/1000,no,NaN,20.43
83,10000,FD_all,3,8,constant,4.71e-05,100/1000,no,NaN,19.89
83,10000,FD_all,4,8,constant,3.44e-05,100/1000,no,NaN,20.33
83,10000,FD_all,5,8,constant,3.86e-05,100/1000,no,NaN,19.78
,,,,,,,,,,
83,100000,Exact,0,N/A,N/A,6.41e-06,100/1000,no,NaN,84.88
83,100000,Exact,1,N/A,N/A,1.43e-05,100/1000,no,NaN,79.39
83,100000,Exact,2,N/A,N/A,1.37e-05,100/1000,no,NaN,79.93
83,100000,Exact,3,N/A,N/A,1.50e-05,100/1000,no,NaN,79.56
83,100000,Exact,4,N/A,N/A,1.51e-05,100/1000,no,NaN,80.28
83,100000,Exact,5,N/A,N/A,1.35e-05,100/1000,no,NaN,80.26
,,,,,,,,,,
83,100000,FD,0,12,component-wise,6.41e-06,100/1000,no,NaN,73.01
83,100000,FD,1,12,component-wise,1.43e-05,100/1000,no,NaN,91.10
83,100000,FD,2,12,component-wise,1.37e-05,100/1000,no,NaN,100.95
83,100000,FD,3,12,component-wise,1.50e-05,100/1000,no,NaN,100.16
83,100000,FD,4,12,component-wise,1.51e-05,100/1000,no,NaN,89.76
83,100000,FD,5,12,component-wise,1.35e-05,100/1000,no,NaN,89.72
,,,,,,,,,,
83,100000,FD,0,12,constant,6.41e-06,100/1000,no,NaN,105.38
83,100000,FD,1,12,constant,1.43e-05,100/1000,no,NaN,100.20
83,100000,FD,2,12,constant,1.37e-05,100/1000,no,NaN,99.22
83,100000,FD,3,12,constant,1.50e-05,100/1000,no,NaN,101.98
83,100000,FD,4,12,constant,1.51e-05,100/1000,no,NaN,99.27
83,100000,FD,5,12,constant,1.35e-05,100/1000,no,NaN,89.93
,,,,,,,,,,
83,100000,FD,0,4,component-wise,6.41e-06,100/1000,no,NaN,72.77
83,100000,FD,1,4,component-wise,1.43e-05,100/1000,no,NaN,68.80
83,100000,FD,2,4,component-wise,1.37e-05,100/1000,no,NaN,69.04
83,100000,FD,3,4,component-wise,1.50e-05,100/1000,no,NaN,69.29
83,100000,FD,4,4,component-wise,1.51e-05,100/1000,no,NaN,90.36
83,100000,FD,5,4,component-wise,1.35e-05,100/1000,no,NaN,102.71
,,,,,,,,,,
83,100000,FD,0,4,constant,6.41e-06,100/1000,no,NaN,107.93
83,100000,FD,1,4,constant,1.43e-05,100/1000,no,NaN,99.95
83,100000,FD,2,4,constant,1.37e-05,100/1000,no,NaN,101.47
83,100000,FD,3,4,constant,1.50e-05,100/1000,no,NaN,100.53
83,100000,FD,4,4,constant,1.51e-05,100/1000,no,NaN,95.61
83,100000,FD,5,4,constant,1.35e-05,100/1000,no,NaN,102.10
,,,,,,,,,,
83,100000,FD,0,8,component-wise,6.41e-06,100/1000,no,NaN,107.29
83,100000,FD,1,8,component-wise,1.43e-05,100/1000,no,NaN,91.50
83,100000,FD,2,8,component-wise,1.37e-05,100/1000,no,NaN,67.48
83,100000,FD,3,8,component-wise,1.50e-05,100/1000,no,NaN,68.20
83,100000,FD,4,8,component-wise,1.51e-05,100/1000,no,NaN,68.07
83,100000,FD,5,8,component-wise,1.35e-05,100/1000,no,NaN,68.87
,,,,,,,,,,
83,100000,FD,0,8,constant,6.41e-06,100/1000,no,NaN,108.03
83,100000,FD,1,8,constant,1.43e-05,100/1000,no,NaN,103.38
83,100000,FD,2,8,constant,1.37e-05,100/1000,no,NaN,102.31
83,100000,FD,3,8,constant,1.50e-05,100/1000,no,NaN,101.82
83,100000,FD,4,8,constant,1.51e-05,100/1000,no,NaN,98.66
83,100000,FD,5,8,constant,1.35e-05,100/1000,no,NaN,99.56
,,,,,,,,,,
83,100000,FD_all,0,12,component-wise,6.51e-06,100/1000,no,NaN,119.51
83,100000,FD_all,1,12,component-wise,1.43e-05,100/1000,no,NaN,186.86
83,100000,FD_all,2,12,component-wise,1.37e-05,100/1000,no,NaN,217.53
83,100000,FD_all,3,12,component-wise,1.50e-05,100/1000,no,NaN,220.98
83,100000,FD_all,4,12,component-wise,1.51e-05,100/1000,no,NaN,218.04
83,100000,FD_all,5,12,component-wise,1.36e-05,100/1000,no,NaN,219.64
,,,,,,,,,,
83,100000,FD_all,0,12,constant,6.50e-06,100/1000,no,NaN,222.19
83,100000,FD_all,1,12,constant,1.43e-05,100/1000,no,NaN,216.05
83,100000,FD_all,2,12,constant,1.37e-05,100/1000,no,NaN,216.04
83,100000,FD_all,3,12,constant,1.50e-05,100/1000,no,NaN,211.21
83,100000,FD_all,4,12,constant,1.51e-05,100/1000,no,NaN,202.64
83,100000,FD_all,5,12,constant,1.36e-05,100/1000,no,NaN,184.57
,,,,,,,,,,
83,100000,FD_all,0,4,component-wise,6.51e-06,100/1000,no,NaN,116.24
83,100000,FD_all,1,4,component-wise,1.43e-05,100/1000,no,NaN,113.63
83,100000,FD_all,2,4,component-wise,1.37e-05,100/1000,no,NaN,114.28
83,100000,FD_all,3,4,component-wise,1.50e-05,100/1000,no,NaN,114.88
83,100000,FD_all,4,4,component-wise,1.51e-05,100/1000,no,NaN,185.20
83,100000,FD_all,5,4,component-wise,1.36e-05,100/1000,no,NaN,217.47
,,,,,,,,,,
83,100000,FD_all,0,4,constant,6.50e-06,100/1000,no,NaN,220.81
83,100000,FD_all,1,4,constant,1.43e-05,100/1000,no,NaN,216.38
83,100000,FD_all,2,4,constant,1.37e-05,100/1000,no,NaN,216.93
83,100000,FD_all,3,4,constant,1.50e-05,100/1000,no,NaN,216.50
83,100000,FD_all,4,4,constant,1.51e-05,100/1000,no,NaN,214.17
83,100000,FD_all,5,4,constant,1.36e-05,100/1000,no,NaN,214.61
,,,,,,,,,,
83,100000,FD_all,0,8,component-wise,6.51e-06,100/1000,no,NaN,223.43
83,100000,FD_all,1,8,component-wise,1.43e-05,100/1000,no,NaN,218.14
83,100000,FD_all,2,8,component-wise,1.37e-05,100/1000,no,NaN,107.45
83,100000,FD_all,3,8,component-wise,1.50e-05,100/1000,no,NaN,112.33
83,100000,FD_all,4,8,component-wise,1.51e-05,100/1000,no,NaN,114.09
83,100000,FD_all,5,8,component-wise,1.36e-05,100/1000,no,NaN,113.54
,,,,,,,,,,
83,100000,FD_all,0,8,constant,6.50e-06,100/1000,no,NaN,224.91
83,100000,FD_all,1,8,constant,1.43e-05,100/1000,no,NaN,216.05
83,100000,FD_all,2,8,constant,1.37e-05,100/1000,no,NaN,217.69
83,100000,FD_all,3,8,constant,1.50e-05,100/1000,no,NaN,215.62
83,100000,FD_all,4,8,constant,1.51e-05,100/1000,no,NaN,214.14
83,100000,FD_all,5,8,constant,1.36e-05,100/1000,no,NaN,220.16
,,,,,,,,,,
